job_no,domain,roles,companies,locations,experience,salaries,skills
137,Data & AI,Data Analyst,Narayana Health (NH),Hybrid - Bengaluru,0-1 Yrs,Not Disclosed,"Data Visualization,Data Analytics,SQL,Power BI,Problem Solving,Tableau,Python,Data"
138,Data & AI,Splunk Data Analyst,Apptad,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",0-3 Yrs,Not Disclosed,"python,data analysis,data analytics,ssas,data mining,power bi,data warehousing,business analysis"
139,Data & AI,Data Analyst,Capco,Bengaluru,0-7 Yrs,Not Disclosed,"Data analysis,Automation,Management consulting,Test scenarios,Data Analyst,Data quality,Financial services,Balance Sheet"
140,Data & AI,Data Analyst,Lloyds Technology Centre India,Hyderabad,8-15 Yrs,Not Disclosed,"Customer Advisor,Change management,Data management,Management systems,IT security,Strategic planning,Support services,Data Analyst"
141,Data & AI,Data Analyst (English Required),Peroptyx,Remote,0-5 Yrs,Not Disclosed,"Data Analysis,English,Data Analytics,Data Mapping,Data,Analytics,Mapping,Analysis"
142,Data & AI,Data Analyst (English Required),Peroptyx,Remote,0-5 Yrs,Not Disclosed,"Data Analysis,English,Data Analytics,Data Mapping,Analytics,Analysis,Data,Mapping"
143,Data & AI,Data Analyst,MNC Group,Gurugram(Cyber City),0 Yrs,6 Lacs PA,"Power Bi,Advanced Excel,Data Analytics,SQL,Communication Skills,Excel,Data Analysis,Analytics"
144,Data & AI,Data Analyst - US Shift,Morningstar,Navi Mumbai,0-2 Yrs,Not Disclosed,"bi,pfmea,equity,research,sql,operations,fmea,writing"
145,Data & AI,Data Analyst,CGI,Hybrid - Hyderabad,5-7 Yrs,8-18 Lacs PA,"Data Analytics,SQL,Python,Data analysis,Analytics,Data"
146,Data & AI,Data Analyst (Outbound Contact Centre),CIMET,Jaipur(Vaishali Nagar),3-5 Yrs,Not Disclosed,"Excel,Power Bi,Dax,Data Analytics,Data analysis,Outbound,Analytics,Bi"
147,Data & AI,"Online Data Analyst - ""Bengali""",TELUS Digital,Remote,0-2 Yrs,Not Disclosed,"Bengali,English,English Writing,Google Maps,Good English Communication,Bengali Content,Mapping,Communication skills"
148,Data & AI,Data Analyst,Shell Info Technologies,Shillong,5-10 Yrs,8-18 Lacs PA,"Pandas,Data Visualization,Data Analytics,Numpy,Python,Google Sheets,Advanced Excel,Sheet"
149,Data & AI,Data Analyst ETL & Informatica- sv,Infosys,Hybrid - Hyderabad,3-8 Yrs,Not Disclosed,"Informatica,ETL,Data Analytics,SQL,Analytics,Data,Sv"
150,Data & AI,Data Analyst,Black and white Business Solution,"Hyderabad, Bengaluru",8-13 Yrs,10-20 Lacs PA,"Tableau,Data Analytics,SQL,Snowflake,Data Bricks,Data analysis,Bricks,Analytics"
151,Data & AI,Online Data Analyst Gujarati,TELUS Digital,Remote,0-5 Yrs,Not Disclosed,"Gujarati,search engines,Data management,Data Analysis,online maps,online research,Map,Engine"
152,Data & AI,Data Analyst,Image Infosystems,Ernakulam,0 Yrs,2.75-3 Lacs PA,"Aiml,Data Analysis,Edge,SQL,Analysis,Data"
153,Data & AI,Data Analyst,Acciojob,"Chennai, Bengaluru",0-2 Yrs,4-9 Lacs PA,"Data Analytics,Power Bi,Statistics,Python,SQL,Data analysis,Analytics,Data"
154,Data & AI,Walk-in || Data Analyst,Fish Foodie Club,Coimbatore(GN Mills),27 May - 31 Jul,2.25-3.5 Lacs PA,"Inventory,Retail,Warehouse,Excel,MIS,Data Analysis,Supply Chain,Logistics"
155,Data & AI,Data Analyst,Tex Corp,Gurugram,1-2 Yrs,3.5-5.5 Lacs PA,"Data Analysis,Data Interpretation,Data Management,Data Visualization,Advanced Excel,Dashboards,Data Analytics,Data Reporting"
156,Data & AI,Data Analyst,CarTrade,Navi Mumbai,1-4 Yrs,5-7.5 Lacs PA,"SQL,Power Bi,Data Analytics,Data analysis,Analytics,Data,Bi"
157,Data & AI,Data Analyst,IBS Software Services,Kochi,2-3 Yrs,Not Disclosed,"python,data analysis,data analytics,data management,data mining,power bi,pivot table,business analysis"
158,Data & AI,S&C GN - Data&AI - Resources - Analyst,Accenture,Bengaluru,4-8 Yrs,Not Disclosed,"python,data analysis,machine learning,artificial intelligence,sql,data analytics,natural language processing,data mining"
159,Data & AI,Data Analyst,InnovMetric Software Inc,Pune,1-4 Yrs,Not Disclosed,"c#,rest,python,data services,modeling,data analysis,data analytics,bi"
160,Data & AI,IRR Liquidity PBR Data Analyst,Krazymantra It Solutions,Pune,6-10 Yrs,Not Disclosed,"python,sql queries,data analysis,data analytics,sas,data mining,predictive analytics,machine learning"
161,Data & AI,Data Engineer,Hitachi Energy,Hyderabad,3-6 Yrs,Not Disclosed,"C,Shop floor,Cloud,Manager Technology,ETL tool,AWS,SQL,Recruitment"
162,Data & AI,"Principal Engineer, Big Data Engineer",Nagarro,"Hyderabad, Gurugram, Bengaluru",12-16 Yrs,Not Disclosed,"Spark,Data Architecture,Data Modeling,Data Bricks,Pyspark,Azure,AWS,Technical Architecture"
163,Data & AI,Data Engineer,CGI,"Hybrid - Hyderabad, Chennai, Bengaluru",5-9 Yrs,20-25 Lacs PA,"Pyspark,AWS,Data Bricks,Python,SQL,Data Engineering,Data,Bricks"
164,Data & AI,Azure Data Engineer or Big data developer,HCLTech,"Pune, Chennai, Bengaluru",7-12 Yrs,Not Disclosed,"Pyspark,Data Engineering,Software Engineering,Big Data,Spark,Data Bricks,Python,Software"
165,Data & AI,Data Engineer (PySpark),Tata Consultancy Services,"Visakhapatnam, Hyderabad",7-12 Yrs,Not Disclosed,"Pyspark,Hive,Spark,Hdfs,SQL,Data Engineering,Data"
166,Data & AI,Senior Big Data Engineer,Capgemini,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,Not Disclosed,"Delta Lake,Big Data,Azure Databricks,Spark,Apache,Pyspark,SCALA,Microsoft Azure"
167,Data & AI,Palantir -Pyspark Data Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",5-9 Yrs,Not Disclosed,"Pyspark,Palantir,AWS,Ontology,Contour,Palantir Foundry,Python,Foundry"
168,Data & AI,"Hadoop, Spark, Scala - Data Engineer",Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",5-7 Yrs,Not Disclosed,"Data Engineering,Hadoop,SCALA,HDFS,Spark,Azure,Hive,Kafka"
169,Data & AI,Data Engineers & Architects,Exalans And Hunar Corporate Solutions,"Kochi, Bengaluru, Thiruvananthapuram",7-12 Yrs,10-20 Lacs PA,"Data Engineering,Python,Etl Pipelines,Architecture,ETL,Pipeline,Data architecture,Data"
170,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Lucknow,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
171,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Vadodara,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
172,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Faridabad,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
173,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhopal,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
174,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,New Delhi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
175,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Ludhiana,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
176,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Jaipur,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
177,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Agra,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
178,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Visakhapatnam,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
179,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhubaneswar,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
180,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Kochi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
181,Data & AI,Data Engineer,Hitachi Energy,Hyderabad,3-6 Yrs,Not Disclosed,"C,Shop floor,Cloud,Manager Technology,ETL tool,AWS,SQL,Recruitment"
182,Data & AI,"Principal Engineer, Big Data Engineer",Nagarro,"Hyderabad, Gurugram, Bengaluru",12-16 Yrs,Not Disclosed,"Spark,Data Architecture,Data Modeling,Data Bricks,Pyspark,Azure,AWS,Technical Architecture"
183,Data & AI,Data Engineer,CGI,"Hybrid - Hyderabad, Chennai, Bengaluru",5-9 Yrs,20-25 Lacs PA,"Pyspark,AWS,Data Bricks,Python,SQL,Data Engineering,Data,Bricks"
184,Data & AI,Azure Data Engineer or Big data developer,HCLTech,"Pune, Chennai, Bengaluru",7-12 Yrs,Not Disclosed,"Pyspark,Data Engineering,Software Engineering,Big Data,Spark,Data Bricks,Python,Software"
185,Data & AI,Data Engineer (PySpark),Tata Consultancy Services,"Visakhapatnam, Hyderabad",7-12 Yrs,Not Disclosed,"Pyspark,Hive,Spark,Hdfs,SQL,Data Engineering,Data"
186,Data & AI,Senior Big Data Engineer,Capgemini,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,Not Disclosed,"Delta Lake,Big Data,Azure Databricks,Spark,Apache,Pyspark,SCALA,Microsoft Azure"
187,Data & AI,Palantir -Pyspark Data Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",5-9 Yrs,Not Disclosed,"Pyspark,Palantir,AWS,Ontology,Contour,Palantir Foundry,Python,Foundry"
188,Data & AI,"Hadoop, Spark, Scala - Data Engineer",Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",5-7 Yrs,Not Disclosed,"Data Engineering,Hadoop,SCALA,HDFS,Spark,Azure,Hive,Kafka"
189,Data & AI,Data Engineers & Architects,Exalans And Hunar Corporate Solutions,"Kochi, Bengaluru, Thiruvananthapuram",7-12 Yrs,10-20 Lacs PA,"Data Engineering,Python,Etl Pipelines,Architecture,ETL,Pipeline,Data architecture,Data"
190,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Lucknow,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
191,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Vadodara,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
192,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Faridabad,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
193,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhopal,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
194,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,New Delhi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
195,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Ludhiana,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
196,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Jaipur,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
197,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Agra,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
198,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Visakhapatnam,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
199,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhubaneswar,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
200,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Kochi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
201,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Surat,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
202,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Lucknow,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
203,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Vadodara,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
204,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Kanpur,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
205,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Faridabad,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
206,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Chandigarh,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
207,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Chandigarh,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
208,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,New Delhi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
209,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Indore,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
210,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Patna,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
211,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhopal,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
212,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Patna,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
213,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Varanasi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
214,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Agra,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
215,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Nagpur,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
216,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Ludhiana,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
217,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Bhubaneswar,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
218,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Visakhapatnam,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
219,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Kochi,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
220,Data & AI,Manager / Data Engineer - Data Architect,Benovymed Healthcare Private Limited,Guwahati,5-10 Yrs,Not Disclosed,"analytical skills,data management,data validation,data engineer,data warehousing,data architecture,healthcare,data architect"
221,Data & AI,GEN AI Engineer,Capgemini,"Hybrid - Pune, Bengaluru",4-9 Yrs,Not Disclosed,"Generative Ai,Artificial Intelligence,Python,Pytorch,Tensorflow,Cloud Platforms,Natural Language Processing,Machine Learning"
222,Data & AI,AI Expert / Principal AI Engineer,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",10-20 Yrs,Not Disclosed,"Agentic Ai,Generative Ai,Machine Learning,Artificial Intelligence,Machine"
